gene_name	D30_M1234_CD4512_CX3CR6Neg_S31	D30_M1234_CD4512_Slamf6_S29	D30_M1234_CD451_CX3CR6Neg_S28	D30_M1234_CD451_Slamf6_S26	D30_M567_CD4512_CX3CR6Neg_S24	D30_M567_CD4512_Slamf6_S35	D30_M567_CD451_CX3CR6Neg_S34	D30_M567_CD451_Slamf6_S32
0610010K14Rik	430	517	486	385	1166	204	202	618
0610030E20Rik	713	554	350	351	1	190	398	463
1110004F10Rik	2633	2360	1626	1936	1791	1218	3084	3058
1110038F14Rik	508	735	606	616	103	360	587	1087
1110059E24Rik	184	228	229	301	0	52	88	187
1110059G10Rik	276	250	198	75	297	127	110	336
1110065P20Rik	3	20	42	9	0	12	6	20
1190005I06Rik	6	2	24	0	0	0	0	0
1500009L16Rik	141	7	245	1	0	14	59	9
1500011B03Rik	627	746	731	561	2	318	727	723
1600012H06Rik	272	144	588	293	0	505	525	326
1600014C10Rik	2072	1635	1444	466	1569	633	2303	1790
1600029O15Rik	2	50	2	1	1	3	6	20
1700001C19Rik	0	1	0	0	1	2	0	1
1700001J03Rik	0	0	2	8	0	0	0	0
1700001K19Rik	4	0	6	5	0	0	0	3
1700001O22Rik	103	66	77	112	325	15	158	96
1700001P01Rik	0	22	0	21	0	0	0	0
1700003F12Rik	5	0	8	0	0	2	0	17
1700008O03Rik	0	1	4	0	3	0	0	1
1700010I14Rik	15	114	0	173	0	3	95	162
1700011L22Rik	0	2	0	0	0	0	0	5
1700017B05Rik	1158	166	994	84	660	108	579	184
1700018B08Rik	0	4	0	1	0	0	0	0
1700019A02Rik	2	1	0	2	0	0	6	9
1700019D03Rik	51	469	37	508	0	335	181	752
1700020L24Rik	18	33	18	51	0	0	0	32
1700022I11Rik	2	5	1	1	4	0	2	1
1700025G04Rik	76	121	36	48	133	63	24	135
1700028J19Rik	21	14	1	1	1	0	1	2
1700028K03Rik	0	1	17	2	0	2	0	42
1700029F12Rik	0	3	1	0	1	1	0	8
1700029H14Rik	10	51	0	0	0	10	0	25
1700029J07Rik	44	49	0	8	10	60	2	181
1700030C10Rik	0	2	15	0	0	0	17	0
1700030K09Rik	185	313	35	111	0	148	0	414
1700034J05Rik	2	2	0	0	0	2	0	0
1700037C18Rik	63	128	92	53	7	19	16	49
1700049E17Rik2	0	0	0	1	0	0	1	0
1700056E22Rik	11	20	25	9	0	31	58	9
1700057G04Rik	7	2	7	2	1	2	3	5
1700065I16Rik	3	0	0	6	0	0	0	0
1700066M21Rik	21	193	156	38	1149	52	58	143
1700067K01Rik	0	24	0	0	0	1	0	0
1700088E04Rik	20	7	57	26	27	5	12	33
1700093K21Rik	1	0	1	2	0	1	0	4
1700102P08Rik	15	28	39	19	0	0	0	33
1700109H08Rik	58	112	108	12	5	33	40	63
1700123O20Rik	827	922	995	625	1299	369	1473	1306
1810009A15Rik	901	979	583	712	1546	600	1092	1475
1810014B01Rik	3	6	15	19	0	3	15	6
1810024B03Rik	12	11	9	6	0	0	11	40
1810030O07Rik	1444	1518	1433	981	1422	764	217	1778
1810037I17Rik	1131	940	1145	701	1339	710	2132	1285
1810055G02Rik	85	141	115	42	3	0	367	123
1810062G17Rik	13	21	0	5	0	42	0	18
2010010A06Rik	0	0	0	0	0	0	4	0
2010109A12Rik	5	0	0	0	0	0	0	6
2010315B03Rik	234	420	219	435	92	139	52	566
2200002D01Rik	6	24	14	0	0	19	30	39
2210016L21Rik	418	673	306	332	63	381	463	852
2210017I01Rik	1	1	8	4	3	1	0	4
2210408I21Rik	19	23	56	0	0	0	0	67
2210418O10Rik	15	46	11	15	4	7	1	25
2300009A05Rik	102	121	131	129	0	116	160	79
2310009B15Rik	24	30	31	24	0	15	48	56
2310011J03Rik	760	671	886	532	1	293	605	919
2310022A10Rik	527	572	451	361	1218	225	232	620
2310022B05Rik	2	46	0	0	0	1	0	17
2310033P09Rik	667	734	633	469	2021	221	716	840
2310039H08Rik	156	204	264	103	0	92	191	304
2310040G07Rik	0	0	3	0	0	0	0	1
2310057M21Rik	329	94	284	217	44	187	134	386
2310061I04Rik	180	264	53	155	0	179	279	527
2410002F23Rik	1139	2590	1586	1797	76	748	325	1923
2410004B18Rik	493	460	422	263	520	262	494	506
2410004P03Rik	19	35	8	38	2	7	14	53
2410039M03Rik	148	476	295	395	63	152	78	290
2510002D24Rik	761	918	614	763	35	233	340	824
2510009E07Rik	0	37	0	108	0	0	0	47
2510039O18Rik	459	348	441	132	4	211	452	658
2610005L07Rik	408	770	644	649	786	319	351	1025
2610008E11Rik	269	414	407	318	4	65	196	476
2610021A01Rik	336	438	338	177	693	205	17	355
2610024D14Rik	12	38	33	13	0	10	0	20
2610042L04Rik	5	2	19	0	0	5	38	28
2610318N02Rik	105	66	8	0	1	21	286	165
2700049A03Rik	381	332	128	175	160	202	303	248
2700062C07Rik	329	427	428	138	0	145	509	256
2700097O09Rik	207	311	318	128	23	99	232	217
2700099C18Rik	109	26	68	0	0	24	0	7
2810004N23Rik	395	774	227	451	1345	451	105	830
2810021J22Rik	229	262	174	142	3	69	197	259
2810025M15Rik	18	14	12	0	0	15	65	0
2810039B14Rik	132	33	47	0	0	0	55	75
2810047C21Rik1	48	36	96	8	0	4	36	59
2810408A11Rik	0	15	1	0	0	0	5	18
2810459M11Rik	3	5	0	0	0	1	0	1
2900026A02Rik	1023	109	1719	200	2478	107	1266	149
3000002C10Rik	35	11	31	3	0	36	3	0
3110009E18Rik	59	60	71	48	14	53	111	101
3110040N11Rik	308	484	335	326	495	144	261	481
3110053B16Rik	0	5	0	10	0	0	30	0
3110082I17Rik	2	85	7	29	23	50	0	63
3300002I08Rik	10	17	76	33	2	0	14	40
4632415L05Rik	57	87	32	38	0	102	57	74
4833420G17Rik	1661	2528	1822	1308	2280	1243	905	2485
4833439L19Rik	1564	1360	1200	521	48	884	1023	2126
4921507P07Rik	0	20	35	1	0	0	0	4
4921509C19Rik	0	0	2	0	4	0	0	0
4921524J17Rik	446	308	363	316	1207	174	489	529
4930432E11Rik	2	1	2	0	0	2	63	4
4930444P10Rik	4	10	21	9	14	6	9	10
4930447C04Rik	7	23	11	9	20	10	18	26
4930453N24Rik	799	708	565	405	505	289	958	710
4930469K13Rik	20	16	26	31	0	0	1	16
4930474N05Rik	16	25	14	20	4	23	16	21
4930486L24Rik	0	66	0	28	626	0	44	0
4930503L19Rik	821	625	746	536	7	452	175	632
4930512M02Rik	12	10	9	6	3	6	10	12
4930519G04Rik	5	10	13	10	2	9	3	15
4930522L14Rik	224	319	250	34	320	22	269	308
4930523C07Rik	1620	2536	1870	2149	966	831	1534	1984
4930526A20Rik	14	10	0	0	0	0	0	0
4930529C04Rik	5	0	3	2	2	1	0	0
4930544D05Rik	14	0	0	0	0	0	79	0
4930550C14Rik	0	2	0	0	0	5	0	17
4930562C15Rik	2	4	3	16	0	1	1	1
4930563E22Rik	1	25	83	1	0	0	1	44
4930579G24Rik	293	305	294	320	1073	122	338	219
4930590J08Rik	3	10	7	4	4	1	1	1
4931406B18Rik	9	8	7	5	2	2	3	5
4931406C07Rik	56	161	65	115	115	63	93	68
4931414P19Rik	46	39	44	6	1	6	1	39
4931428L18Rik	16	11	17	14	43	4	7	12
4931429L15Rik	3	2	12	5	27	0	2	10
4932414N04Rik	76	84	78	45	86	70	47	132
4932438H23Rik	7	0	33	21	0	0	0	0
4933407L21Rik	8	7	45	2	5	0	0	2
4933424G06Rik	7	4	51	6	0	0	0	0
4933427D14Rik	323	459	448	302	0	194	222	837
4933430I17Rik	1	2	0	64	0	23	73	14
4933434E20Rik	6467	7819	3376	3858	14170	4952	6117	9975
5031439G07Rik	27	65	0	0	3	225	0	136
5730409E04Rik	0	10	6	75	1	0	0	10
5730455P16Rik	259	368	89	130	222	3	92	357
5730480H06Rik	150	196	54	86	10	71	38	237
5730507C01Rik	7	1	6	5	27	7	5	29
5830417I10Rik	148	226	326	269	0	103	71	272
6030458C11Rik	586	743	595	716	932	383	420	760
6030468B19Rik	4	2	4	3	0	3	0	1
6330403K07Rik	79	257	90	108	0	98	229	249
6330549D23Rik	1	18	0	1	0	42	0	17
6430548M08Rik	0	1	0	16	0	0	0	1
6430550D23Rik	26	5	45	30	0	2	8	70
6430571L13Rik	0	0	0	0	1	0	0	1
6820431F20Rik	65	67	45	88	27	42	14	91
7530416G11Rik	0	3	2	2	2	0	1	1
9030624G23Rik	19	33	7	13	22	27	3	23
9130008F23Rik	44	8	97	0	0	31	0	0
9130019O22Rik	56	60	185	13	1	0	326	78
9130023H24Rik	500	353	510	104	0	182	342	297
9130401M01Rik	172	330	339	248	779	194	476	488
9330159F19Rik	13	14	25	29	25	1	4	12
9330182O14Rik	5	5	0	2	0	0	3	0
9430015G10Rik	298	894	392	578	568	433	193	791
9430038I01Rik	86	116	44	75	5	12	14	131
9530050K03Rik	7	1	0	2	0	0	0	0
9530068E07Rik	1971	2267	1462	1347	742	1093	1554	2465
9830107B12Rik	4	3	9	3	0	0	1	11
9930012K11Rik	125	30	227	0	0	11	132	148
9930021J03Rik	189	222	180	57	0	24	85	182
9930022D16Rik	0	2	13	13	0	3	0	10
9930111J21Rik1	891	1801	586	1243	1113	326	67	1597
9930111J21Rik2	1472	2231	1312	960	2214	1346	947	2239
a	2	1	0	0	0	4	0	0
A030005L19Rik	12	0	7	23	0	0	70	0
A130010J15Rik	73	87	35	55	166	141	79	93
A2ml1	6	2	1	1	1	1	1	8
A430005L14Rik	477	563	304	356	604	285	614	755
A430033K04Rik	188	118	296	55	2	104	26	377
A4galt	2	2	1	1	1	1	0	4
A530064D06Rik	37	56	52	38	12	13	13	38
A630001G21Rik	468	1085	1007	708	185	306	668	1266
A630073D07Rik	7	25	36	24	50	4	21	20
A630089N07Rik	262	258	223	123	263	124	70	414
A830018L16Rik	9	18	40	17	36	14	14	29
A930007A09Rik	8	96	58	5	0	25	0	4
AA413626	0	15	0	0	0	0	0	11
AA414768	21	24	72	0	0	0	42	26
