gene_name	D9_M12_CD4512_CX3CR6Neg_S6	D9_M12_CD4512_Slamf6_S4	D9_M12_CD451_CX3CR6Neg_S3	D9_M12_CD451_Slamf6_S1	D9_M34_CD4512_CX3CR6Neg_S12	D9_M34_CD4512_Slamf6_S10	D9_M34_CD451_CX3CR6Neg_S9	D9_M34_CD451_Slamf6_S7	D9_M56_CD4512_CX3CR6Neg_S18	D9_M56_CD4512_Slamf6_S16	D9_M56_CD451_CX3CR6Neg_S15	D9_M56_CD451_Slamf6_S13	D9_M78_CD4512_Slamf6_S22	D9_M78_CD451_CX3CR6Neg_S21	D9_M78_CD451_Slamf6_S19
0610010K14Rik	485	352	593	552	384	412	287	526	571	336	457	332	360	577	349
0610030E20Rik	330	455	559	506	411	214	311	481	650	505	446	195	521	736	653
0610040J01Rik	0	2	0	1	1	5	4	3	0	0	1	0	4	5	4
1110004F10Rik	1460	1351	2161	1493	1300	1662	953	1623	1750	1208	1678	885	1266	1659	1165
1110017D15Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
1110032F04Rik	0	0	0	5	0	1	0	5	0	9	1	4	6	2	1
1110038F14Rik	252	233	318	377	233	232	184	323	331	225	287	193	277	411	297
1110059E24Rik	145	145	236	213	147	161	100	150	156	117	188	83	167	196	126
1110059G10Rik	101	63	109	62	66	70	55	69	103	84	95	44	79	79	62
1110065P20Rik	13	26	36	47	22	40	21	37	27	41	30	31	19	33	26
1190005I06Rik	1	0	3	7	4	3	0	1	1	1	2	2	3	4	2
1500009L16Rik	367	87	556	73	342	166	283	124	447	107	394	53	116	468	100
1500011B03Rik	409	455	607	552	371	437	244	547	495	412	424	310	340	444	366
1600012H06Rik	120	145	296	182	221	82	148	220	232	192	154	97	200	226	166
1600014C10Rik	469	717	657	949	489	404	402	902	782	748	598	529	905	1483	1196
1600029O15Rik	6	8	2	2	4	3	3	6	3	3	2	4	9	3	8
1700001C19Rik	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0
1700001K19Rik	0	0	0	1	0	0	0	2	2	0	1	0	3	1	1
1700001O22Rik	17	12	21	15	16	11	16	12	26	25	20	9	34	33	29
1700001P01Rik	3	0	3	3	0	0	0	2	0	2	3	0	3	1	2
1700003F12Rik	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0
1700007E05Rik	0	0	0	0	0	0	1	0	0	1	2	0	2	3	0
1700008O03Rik	0	0	0	6	0	2	0	0	1	1	2	1	2	0	1
1700010I14Rik	11	35	26	74	25	36	8	66	16	22	29	31	40	31	58
1700011L22Rik	1	1	0	0	0	0	0	0	0	1	5	0	1	0	2
1700012B07Rik	0	0	3	0	7	0	0	0	0	0	1	0	0	0	0
1700016C15Rik	0	1	0	0	0	0	0	0	0	2	0	0	1	2	2
1700017B05Rik	1210	304	1880	320	1184	85	1206	432	1427	327	1521	103	436	2150	478
1700018F24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019A02Rik	3	3	1	0	0	1	0	0	2	0	0	0	0	0	0
1700019D03Rik	27	332	65	474	27	296	27	563	29	239	45	257	241	35	235
1700020A23Rik	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
1700020L13Rik	0	1	0	1	0	0	0	2	0	0	0	0	1	0	2
1700020L24Rik	26	11	26	17	32	11	23	22	28	24	26	5	14	46	17
1700020N01Rik	0	0	0	1	0	2	0	2	0	0	1	0	0	3	0
1700022I11Rik	1	0	1	0	2	1	0	0	1	2	0	0	1	0	5
1700025G04Rik	33	62	52	59	50	24	39	61	48	61	60	35	60	79	54
1700028B04Rik	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0
1700028J19Rik	4	13	8	4	2	3	7	11	18	1	7	5	5	8	18
1700028K03Rik	1	3	0	5	0	0	2	0	0	1	8	1	4	8	15
1700029F12Rik	2	0	0	0	0	0	0	0	1	1	1	1	2	1	0
1700029H14Rik	0	4	1	2	1	1	0	5	2	0	1	1	6	5	1
1700029J07Rik	6	15	1	32	7	10	2	10	3	17	2	5	15	2	24
1700030C10Rik	0	0	1	3	1	1	0	0	0	1	1	3	2	3	2
1700030J22Rik	0	1	0	3	1	0	0	5	0	0	0	4	2	7	8
1700030K09Rik	26	101	102	242	95	73	62	171	70	116	118	93	179	151	199
1700034J05Rik	0	1	3	0	5	0	2	0	0	1	0	0	7	1	1
1700037C18Rik	64	53	70	74	45	51	22	70	64	61	48	27	57	92	64
1700056E22Rik	2	5	25	14	7	7	5	12	6	6	9	3	14	13	9
1700057G04Rik	0	0	2	4	0	1	0	1	3	1	2	1	3	2	1
1700065I16Rik	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066M21Rik	134	133	176	99	125	7	146	138	187	97	174	42	137	270	132
1700067K01Rik	0	2	9	0	3	1	4	3	1	7	3	1	1	5	5
1700073E17Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
1700088E04Rik	12	1	6	2	1	6	4	7	9	1	0	4	1	4	1
1700093K21Rik	0	2	0	5	1	0	0	1	0	1	1	0	1	4	2
1700102P08Rik	5	9	4	7	10	1	1	3	7	9	2	0	2	18	12
1700109H08Rik	30	45	20	29	30	13	28	22	55	39	19	10	35	60	28
1700123O20Rik	451	461	769	674	466	552	323	554	642	459	591	378	554	752	488
1810009A15Rik	474	315	618	464	393	630	316	479	576	429	627	338	378	561	318
1810010H24Rik	4	1	0	8	2	2	1	2	2	1	3	3	2	6	3
1810014B01Rik	8	10	17	7	1	10	2	10	11	3	8	2	0	10	7
1810024B03Rik	7	7	3	4	2	5	1	3	5	8	6	3	9	3	8
1810030O07Rik	545	899	913	1099	688	247	625	1296	818	860	792	560	1008	1255	1139
1810037I17Rik	1064	290	1062	359	679	689	391	345	1069	424	925	336	338	586	318
1810049J17Rik	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0
1810055G02Rik	45	118	101	130	68	100	65	147	85	76	102	74	126	143	84
1810062G17Rik	2	9	5	4	7	4	2	5	5	4	1	5	6	1	2
2010010A06Rik	0	0	0	0	0	0	0	1	0	3	1	0	1	0	1
2010109A12Rik	3	1	11	2	2	3	2	2	9	4	6	3	1	3	3
2010315B03Rik	119	165	169	168	120	32	97	173	154	202	146	72	191	222	164
2200002D01Rik	3	13	0	16	6	2	1	8	5	7	4	6	6	10	12
2210016L21Rik	220	299	316	530	182	311	164	553	285	324	282	250	347	359	401
2210017I01Rik	3	1	1	1	0	1	1	2	1	4	4	0	3	2	2
2210408I21Rik	12	15	22	17	2	5	8	13	7	11	21	2	23	10	18
2210418O10Rik	14	39	21	26	39	9	21	20	27	29	26	15	33	51	37
2300009A05Rik	73	36	69	61	36	51	38	90	71	46	64	59	58	59	58
2310009B15Rik	54	29	55	48	43	32	26	58	44	42	36	23	45	51	33
2310011J03Rik	555	539	820	817	696	485	494	828	750	540	618	448	658	1006	770
2310022A10Rik	351	429	615	550	479	205	382	615	432	439	531	271	473	759	461
2310022B05Rik	21	84	50	43	21	22	30	58	22	60	23	35	80	51	79
2310033P09Rik	268	216	319	364	298	306	182	335	287	219	293	175	236	335	238
2310034G01Rik	6	2	0	3	1	4	2	8	6	1	0	1	4	0	2
2310039H08Rik	117	79	128	107	93	151	48	103	98	80	96	64	82	108	75
2310040G07Rik	0	0	3	3	0	2	0	5	0	3	0	1	0	1	0
2310057J18Rik	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2310057M21Rik	110	101	127	114	97	81	105	134	196	101	138	79	136	187	132
2310061I04Rik	166	218	286	304	172	186	155	272	292	238	238	159	244	289	206
2410002F23Rik	470	766	640	683	538	186	441	667	563	534	429	253	749	779	964
2410004B18Rik	206	153	282	181	179	226	132	197	245	180	219	126	129	238	154
2410004P03Rik	10	32	17	12	12	17	15	36	27	14	30	9	20	29	26
2410039M03Rik	212	294	222	337	183	95	120	327	220	271	169	90	350	342	535
2510002D24Rik	317	296	345	452	289	300	198	474	311	319	302	246	309	337	274
2510009E07Rik	0	7	0	3	2	2	0	2	0	13	3	3	10	5	16
2510039O18Rik	138	160	255	246	157	146	153	263	208	159	259	139	197	319	219
2610005L07Rik	139	282	259	274	266	199	179	239	241	337	212	178	303	330	267
2610008E11Rik	81	165	189	73	146	22	61	73	98	114	131	19	191	169	189
