gene	PC1	PC2	PC3	PC4	PC5	PC6	cluster_id
Gzma	0.3106545952891549	-0.04264325637112452	0.009212270522709298	0.0746805111364394	-0.08869178368877673	3.603985245897497e-4	progenitor
Pdcd1	0.1317114458624609	-0.10324768053066662	-0.018149290148557307	0.029472691083460446	0.018751657250106715	0.1634389141872222	progenitor
Ctse	-0.11013839768598108	-0.09746294095675746	0.030588868611072434	-0.029756713923656933	0.03666305278795578	-0.260826269189196	progenitor
Rps28	-0.10736932590026746	-0.04357620272876605	0.05704382101933689	0.020952216165094302	0.011239399348230893	0.13357409927168504	progenitor
Ccl4	0.08413938183999588	-0.010909947234792796	0.05829678235332259	-0.10473301278324713	-0.03486893963824515	0.03569680572518348	progenitor
Rps29	-0.08879159935305105	-0.04538641075803456	0.03552450195429027	0.021480594838758988	0.008608974761025711	0.015537847829143742	progenitor
Rpl38	-0.08917446668709025	-0.040492842097349116	0.03173348667429382	0.006611216121607566	-0.0016742433591276774	0.027057863262574176	progenitor
Tnfrsf4	0.08321175516997344	-0.005962947689550511	-0.055212043400985594	-0.06078559987130334	0.01798338111608208	-0.005346908860788864	progenitor
Gzmb	0.08467142502175026	0.05107247937484112	-0.03413846461446933	0.018260198075482327	-0.023422811802118457	-0.015551601449598598	progenitor
Rps26	-0.08805429833058517	-0.032009824858865124	0.04295763547156494	-0.004636494346146555	9.369519997492811e-4	-0.006107035798373203	progenitor
Cxcr6	0.08926991267590273	-0.02211934798225539	-0.03259859467464209	0.009254481450587243	-0.02409068500929254	-2.8438290427904283e-4	progenitor
Ly6c2	-0.08923751692685594	-0.009849672894408431	0.02666481746768422	-0.035881744451414906	-0.014251664898735191	-0.018097500596639213	progenitor
Rps27rt	-0.08537262339766757	-0.03741151650037067	7.307935100217898e-4	0.003591935832055392	0.013775194719420972	0.0036809382882111836	progenitor
Rps12-ps3	-0.08220296362791818	-0.04574573940319988	6.618828042683151e-4	-0.00843836137683524	-0.005111453275927037	0.03827465372950323	progenitor
Rgs1	0.06857764928533132	-0.052576375328976896	0.06059130723922222	0.015841452587001696	-0.012834153965316182	-0.01524255320286045	progenitor
mt-Nd3	-0.07608930677993135	-0.04979593590829351	0.01373200502706338	0.0036132565846533483	0.01786512737841189	-0.03024230560082951	progenitor
